CONFIG,TYPE,OWNER,NOTE,6580,6735,6735M,6753,6757,6735_64,6735M_64,6753_64,6755_64,6797_64,6757_64
CONFIG_CGROUP_FREEZER,COMMON,jing-ting.wu,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CGROUP_SCHED,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CGROUPS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CLS_U32_MARK,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CLS_U32_PERF,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CMA,PROJECT,Miles.Chen,Specific usage,X,X,X,X,,O,X,X,O,O,
CONFIG_CMA_DEBUG,PROJECT,Miles.Chen,Specific usage,X,X,X,X,,O,X,X,O,O,
CONFIG_CMDLINE,COMMON,,,"console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O ","console=tty0 console=ttyMT3,921600n1 root=/dev/ram vmalloc=496M slub_max_order=0 slub_debug=O "
CONFIG_COMPAT,PLATFORM,,,X,X,X,X,X,y,y,y,y,y,y
CONFIG_CORE_DUMP_DEFAULT_ELF_HEADERS,COMMON,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_CP15_BARRIER_EMULATION,PLATFORM,,,X,X,X,X,X,y,y,y,y,y,y
CONFIG_CPU_FREQ,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CPU_FREQ_DEFAULT_GOV_INTERACTIVE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CPU_FREQ_GOV_ONDEMAND,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CPU_FREQ_GOV_PERFORMANCE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CPU_FREQ_GOV_POWERSAVE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CPU_FREQ_GOV_USERSPACE,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CPU_FREQ_STAT_DETAILS,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CPUSETS,PROJECT,jing-ting.wu,,X,X,X,X,X,X,X,X,X,y,X
CONFIG_CROSS_COMPILE,PLATFORM,,,arm-eabi-,arm-eabi-,arm-eabi-,arm-eabi-,arm-eabi-,aarch64-linux-android-,aarch64-linux-android-,aarch64-linux-android-,aarch64-linux-android-,aarch64-linux-android-,aarch64-linux-android-
CONFIG_CRYPTO_AES_ARM,PLATFORM,Calvin.Liao,,X,y,y,y,y,X,X,X,X,X,X
CONFIG_CRYPTO_AES_ARM64_CE,PLATFORM,Calvin.Liao,,X,X,X,X,X,y,y,y,y,y,y
CONFIG_CRYPTO_AES_ARM64_CE_BLK,PLATFORM,Calvin.Liao,,X,X,X,X,X,y,y,y,y,y,y
CONFIG_CRYPTO_ANSI_CPRNG,COMMON,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_CRYPTO_CTR,PROJECT,Calvin.Liao,,y,y,y,y,y,y,y,y,O,y,y
CONFIG_CRYPTO_HW,COMMON,,,N,N,N,N,N,N,N,N,N,N,N
CONFIG_CRYPTO_LZ4K,PROJECT,linger.lee,ubifs,O,y,y,y,,y,y,y,y,y,
CONFIG_CRYPTO_LZO,PROJECT,linger.lee,ubifs,O,y,y,y,,y,y,y,y,y,
CONFIG_CRYPTO_NULL,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_CRYPTO_SHA2_ARM64_CE,PLATFORM,Calvin.Liao,,X,X,X,X,X,y,y,y,y,y,y
CONFIG_CRYPTO_SHA256,PROJECT,Calvin.Liao,for dm-verity,y,y,y,y,y,y,y,y,O,y,y
